id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24362310,BJ 音乐学者之家 新景家园 磁器口 崇文门 天坛 龙潭公园 大两居,175796267,立东,,东城区,39.89634123516031,116.42750755849916,Entire home/apt,765,1,0,,,3,349
24362313,【Sumnight】五道口鸟巢附近温馨次卧，清华北大,22223860,Xiaolu,,海淀区,39.993301986285054,116.36736429339281,Private room,220,4,1,2018-07-08,0.70,3,81
24362316,【超级优惠】国瑞城北京医院、同仁医院、协和医院 北京站 天安门 天坛 磁器口珠市口自然风两居-林轩,154918189,广磊,,东城区,39.89892852780054,116.41956545117618,Entire home/apt,690,1,0,,,1,357
24362319,『简单自然』石景山|地铁8分钟|301医院|五棵松体育馆|可商务接待【精品民宿|2居】环境优美+舒适垫+位置绝佳,155313805,冬彦,,石景山区,39.90690449843818,116.21723616100927,Entire home/apt,591,1,0,,,1,363
24362810,BJ 莹 电影达人之家 崇文门 北京站 紧邻南馆公园 步行到地铁口3分钟 购物方便 各大商场写字楼,175796487,莹莹,,东城区,39.89987203481033,116.42441429857287,Entire home/apt,627,1,0,,,9,343
24362815,BJ【特价】磁器口地铁站 天安门故宫 天坛公园 王府井小吃街国瑞购物中心 同仁医院 西花市 磊,175798137,磊,,东城区,39.89578102264372,116.4243569881386,Entire home/apt,786,1,0,,,2,356
24362818,BJ磊 科技馆鸟巢水立方金泉美食宫精装二居 国家会议中心,175798137,磊,,朝阳区 / Chaoyang,40.00939183959339,116.40920396036636,Entire home/apt,660,1,0,,,2,0
24363236,五道口鸟巢超大卧室 清华北大北科，(神奇offer收割房),22223860,Xiaolu,,海淀区,39.993179364258346,116.36825999526764,Private room,289,3,6,2018-05-20,1.41,3,79
24363335,BJ儿研所对面 日坛秀水街金宝街1/2号线建国门地铁站 可做饭 宜家风整套两居室服装设计师的家,151209171,杰,,朝阳区 / Chaoyang,39.917931298338594,116.43940070721027,Entire home/apt,690,1,0,,,1,356
24363337,阜成门地铁站前门 北京站 阜外医院 动物园  玉渊潭 月坛 可做饭 现代简约运动2居,175796487,莹莹,,西城区,39.9251956233161,116.35171895664406,Entire home/apt,715,1,0,,,9,360
24363342,Beijing临近前门天安门 王府井 同仁医院磁器口地铁站北京站 新世界百货舒适2居室插画师的家,175796487,莹莹,,东城区,39.89309070524887,116.41311520025374,Entire home/apt,758,1,2,2018-07-27,2,9,358
24363343,Beijing北京CBD国贸 三里屯富力广场 潘家园 双井地铁旁舒适格调两居室2BDRS-航行者的家,175796487,莹莹,,朝阳区 / Chaoyang,39.89032913355417,116.46571648461489,Entire home/apt,550,1,0,,,9,363
24363344,外体改造中-Beijing 中纺里 2BDR 三里屯太古里 富国海底世界 世贸工三 保利剧院 世贸天阶 国贸商圈,175796487,莹莹,,朝阳区 / Chaoyang,39.92787547570627,116.4518178698454,Entire home/apt,648,1,1,2018-07-11,0.77,9,358
24363346,西二环 阜外医院 北海公园 天安门 故宫博物院 玉渊潭公园 近地铁车公庄站 温馨两居室,175796487,莹莹,,西城区,39.929904856719446,116.3536695234049,Entire home/apt,557,1,1,2018-07-22,1,9,360
24363349,5分钟至经济贸易大学 鸟巢水立方 中日友好医院 安贞医院,175796487,莹莹,,朝阳区 / Chaoyang,39.98557033676528,116.42540386166645,Entire home/apt,529,1,0,,,9,353
24363415,北京 东直门 雍和宫 鼓楼大街 什刹海公园——摄影师之家,175796267,立东,,东城区,39.94014594478742,116.43689373924701,Entire home/apt,765,1,2,2018-06-21,0.56,3,338
24363866,万寿路地铁轻奢两居301医院304医院空军总医院北大肿瘤医院天安门故宫军博清华北大西客站直达,170691624,东东,,海淀区,39.91271076459237,116.29627089646108,Entire home/apt,557,2,2,2018-05-21,0.48,9,81
24363957,工体北路一居大床房无敌景观,113790482,Frey,,朝阳区 / Chaoyang,39.93732577410535,116.44389958516125,Entire home/apt,552,1,0,,,2,178
