id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18871091,Bright & Spacious Home in Heart of SF,22923465,Basil,,Haight Ashbury,37.77522282041184,-122.44619585736915,Entire home/apt,100,3,10,2018-07-13,0.72,2,0
18873472,"2BR: Prime Location, Newly Remodeled, Wired (U2)",9843013,Chris,,Inner Sunset,37.765732401406304,-122.45883818658966,Entire home/apt,110,30,2,2018-04-30,0.26,10,297
18873809,"Bright, Peaceful Guest Suite Close to the Beach",20137018,Ryan,,Parkside,37.74484799162184,-122.5025831031268,Private room,250,2,53,2018-08-04,4.07,1,229
18874472,Room inside of house,131502074,Kathy,,Outer Sunset,37.74731599103344,-122.47612662377757,Private room,80,1,64,2018-07-30,4.69,2,147
18874655,Spacious and Charming Russian Hill 1 Bedroom,13832870,International,,Russian Hill,37.802900414341146,-122.4199805719159,Entire home/apt,144,30,2,2018-07-01,0.28,30,331
18878559,Private Bedroom 1,59258209,Felix,,Lakeshore,37.73174085900538,-122.49087569813082,Private room,75,2,30,2018-07-29,2.15,3,163
18878999,"Beautiful 2 bedroom 1 bath, charming neighborhood",16877435,Rous,,Outer Sunset,37.75156084483491,-122.49268544528165,Entire home/apt,200,2,31,2018-07-25,2.19,1,5
18880002,Clean and private master bedroom in cute 3b/1ba (6,75236060,Mass,,Nob Hill,37.79085786299956,-122.41417809919793,Private room,89,30,1,2017-10-18,0.10,1,62
18893442,"Bright, Spacious Hayes Valley Apartment",1011441,Julio G.,,Western Addition,37.77649414539389,-122.4303854826682,Private room,100,30,14,2018-05-21,1.19,1,266
18894190,Chic 1BR in SoMA by Sonder,12243051,Sonder,,South of Market,37.77811495224586,-122.4135325277726,Entire home/apt,142,30,0,,,115,304
18894263,Incredible 1BR in SoMA by Sonder,12243051,Sonder,,South of Market,37.77931560554555,-122.41336917684302,Entire home/apt,142,30,1,2017-10-15,0.10,115,324
18895765,"Wired, Convenient, Clean, Modern Design (A1)",9843013,Chris,,Inner Sunset,37.76527914979372,-122.45933632911405,Private room,60,32,1,2018-07-31,1,10,180
18898768,Guerrero St. Getaway,80126102,Molly,,Mission,37.74886407081839,-122.42263120320679,Private room,135,2,54,2018-08-04,3.85,1,84
18900408,Great Mission District one bedroom apartment,131717087,Henry,,Mission,37.76176727275355,-122.41706697594115,Private room,159,30,8,2018-01-14,0.59,1,80
18900978,2 Private & modern Guest BR + 1 BA in Hayes Valley,71409219,Sabrina,,Western Addition,37.77623194532099,-122.42321110011726,Private room,250,2,12,2018-07-26,0.88,1,10
18908177,Sleek 1BR in SoMA by Sonder,12243051,Sonder,,South of Market,37.77940352390537,-122.41359621500355,Entire home/apt,142,30,2,2017-08-13,0.15,115,323
18915712,You will love the space,3969198,David,,South of Market,37.77718372958431,-122.40783486252117,Private room,109,30,3,2017-06-23,0.21,1,90
18916029,Urban Hideaway & Artspace,33242464,Libby,,Bernal Heights,37.732752346452635,-122.4232375543569,Entire home/apt,180,3,27,2018-07-02,1.99,1,70
18916321,Victorian Vacation Home,8585109,Thea,,Noe Valley,37.74417433554521,-122.43257523874932,Private room,112,2,59,2018-07-28,4.07,2,118
18926777,"Heart of South Beach, your own private room!",6262569,Jacqueline,,Financial District,37.79003669282619,-122.3910313714429,Private room,199,30,0,,,2,180
18928482,Spacious Bright Room in Charming Edwardian Home,126496085,Felicity,,Parkside,37.741972734148064,-122.48418031949423,Private room,76,2,48,2018-08-05,3.53,4,4
18928857,Apartment with Loft Style Design,48005494,Zeus,,Mission,37.757867456164476,-122.41494103181135,Entire home/apt,188,30,1,2018-02-10,0.17,155,319
18931048,Victorian in the heart of Castro II,43695190,Alex & Daniel,,Castro/Upper Market,37.7639003081741,-122.43211049453274,Private room,150,2,62,2018-07-22,4.51,2,302
18949091,Come to our Outer Sunset Sanctuary !!,132070723,Bridget,,Outer Sunset,37.76282793375323,-122.49427632972815,Entire home/apt,170,2,7,2018-07-29,0.58,1,4
18956166,Eclectic Original San Francisco Farmhouse,132177781,Molly,,Bernal Heights,37.74091462488419,-122.4123550330098,Entire home/apt,260,30,0,,,1,174
18957138,Modern Luxury Condo in Cow Hollow,131316530,Kim,,Marina,37.7974786182585,-122.42894122805136,Private room,550,2,23,2018-07-19,1.84,2,108
18960282,Large Bedroom for 2 w Cozy Bed in San Francisco!,14522747,Sarah,,Outer Richmond,37.77497092842002,-122.49016059504918,Private room,135,2,26,2018-07-21,4.02,2,53
18960888,Condo Oasis in SF downtown,24641943,Johanna,,Western Addition,37.77417475425859,-122.4265740717099,Entire home/apt,200,4,7,2018-06-17,0.53,2,0
18971467,Modern Designer Home in Dynamic Neighborhood,102973,Brian,,Haight Ashbury,37.77496158730544,-122.44017215420862,Entire home/apt,990,4,8,2018-07-28,0.57,1,63
18974834,Beautiful Modern Victorian in Mission Gulch,5612153,Dav,,Mission,37.75682533933941,-122.40717236292541,Entire home/apt,450,2,5,2018-08-03,0.72,1,2
18981477,Spacious 3-rm suite + pvt bath; easy to downtown,6622828,Pam,,Pacific Heights,37.792235633562306,-122.44228390927468,Entire home/apt,199,2,33,2018-08-05,8.18,1,11
18994064,Private Potrero Patio Ensuite,81154398,Tim,,Potrero Hill,37.757434522399244,-122.39752698216219,Private room,149,1,103,2018-08-02,7.52,1,96
19015884,BernalHeights/Mission/super stylish/stunning views,35088058,Jennifer,,Bernal Heights,37.746024122101396,-122.41634059349892,Entire home/apt,145,2,94,2018-08-01,6.75,1,86
19019187,Private Large Bedroom in San Francisco Landmark,132710331,Anastasia / Ana,,Pacific Heights,37.790484195173434,-122.43025130629422,Private room,150,2,7,2018-03-18,0.68,3,0
19020382,Design apartment in the sunny Mission,1835212,Thomas,,Mission,37.752119332124366,-122.40682889417576,Entire home/apt,182,30,1,2017-07-31,0.08,1,44
19020541,Brand new apartment in SF,1321274,Amy,,Excelsior,37.730336303122556,-122.42582633079387,Entire home/apt,135,3,65,2018-08-04,4.89,1,210
19020731,"3-bedroom, 2-bath Victorian single-family in NoPA",61989120,Emily,,Western Addition,37.77692411007928,-122.43950127560423,Entire home/apt,440,7,4,2018-07-15,0.32,1,0
19023994,SOMA - Market St - 1BED - 1 BATH with Parking,38836,Bernat,,South of Market,37.77900974035581,-122.40855364835424,Entire home/apt,125,30,1,2018-05-17,0.37,41,294
19026673,Sunny sunset view room-UCSF/USF - San Francisco,21994,Aaron,,Inner Sunset,37.76472135868575,-122.45280250582555,Private room,89,32,0,,,9,342
19029310,1 block to Downtown Weekly/Monthly Room1,6683937,Amit,,South of Market,37.78107506825379,-122.40922773178505,Private room,60,30,0,,,4,365
19033531,Ultimate Pad - Modern Finishes and Prime Location,103340667,Sheena,,Chinatown,37.79128233675566,-122.40864870840699,Entire home/apt,125,30,0,,,52,88
19035683,Gorgeous Renovated 3bd Home by Golden Gate Park,35786741,Tara,,Inner Richmond,37.77436651013764,-122.46951031400019,Entire home/apt,485,5,2,2018-08-03,0.16,1,3
19038261,1 block to Downtown Weekly/Monthly Room!2,6683937,Amit,,South of Market,37.78242509844231,-122.40961914459751,Private room,60,30,3,2017-10-07,0.21,4,365
19039703,Private unit with 2 bedrooms near Golden Gate Park,67285076,Sandy,,Inner Richmond,37.77376223032178,-122.46377678087656,Entire home/apt,169,1,88,2018-07-22,6.24,2,32
19050152,In Law Suite at Newcomb Avenue,53220441,Sandeep,,Bayview,37.7350574425225,-122.38875938045913,Entire home/apt,189,3,34,2018-08-03,2.50,1,294
19050680,New spacious master suite w/beautiful Ocean view 2,131200418,Lois,,Parkside,37.74464039111535,-122.47406549145622,Private room,75,30,1,2018-07-22,1,13,364
19073405,Private Room near the Beach and Golden Gate Park,4139079,Billy,,Outer Sunset,37.76185650380392,-122.48403278950038,Private room,85,30,43,2018-07-22,3.10,2,36
19086077,Bright Sunny House Next to UCSF Mission Bay 2S,17459345,Eric,,Potrero Hill,37.76192783041651,-122.39613442052674,Private room,120,5,22,2018-07-29,1.95,4,127
19089309,"Private Garden Guest Suite, Epicenter of SF",2113321,Regina,,Western Addition,37.771983340012625,-122.43146072161407,Entire home/apt,132,1,39,2018-08-04,6.65,2,127
19096360,Cow Hollow Comfort,2237254,Kevin,,Marina,37.800265892737606,-122.42502870589954,Entire home/apt,150,30,1,2018-05-30,0.43,1,226
19101632,Cozy Flat in Ingleside Neighborhood,120465543,Angelene,,Ocean View,37.718734132548015,-122.45008066550828,Entire home/apt,175,3,61,2018-07-26,4.44,1,35
19105532,Spacious 2br flat in Noe Valley w/ city&bay view,12328050,Rae,,Noe Valley,37.74864948809521,-122.43385577984202,Entire home/apt,250,30,4,2018-05-28,0.34,2,306
19119633,Quiet Space Found in the Heart of Nob Hill,103340667,Sheena,,Chinatown,37.79231815333282,-122.40754549899358,Entire home/apt,155,30,1,2018-02-04,0.16,52,88
19121342,Charming Golden Gate Park Home,5317770,Clifton,,Haight Ashbury,37.76994292637433,-122.45329419678116,Private room,80,3,7,2017-10-02,0.51,2,0
19124855,The Haven Potrero Hill - Private Bedroom 2,131988979,"Dave, Jer, Igs, Lorns",,Potrero Hill,37.75358519886396,-122.39844658240426,Private room,90,30,32,2018-05-24,2.34,1,167
19125378,Basic Single Room R-8 with Shared Bath,50160697,Ver,,Downtown/Civic Center,37.78584015586441,-122.4142729952425,Private room,79,2,27,2018-07-31,2.33,7,250
19137530,Renovated Unit in the Heart of Inner Sunset,42406815,Emma,,Inner Sunset,37.759615275374685,-122.4669069252434,Entire home/apt,195,2,9,2018-07-29,4.66,1,77
19140088,Distinctive 1BR in SoMA by Sonder,12243051,Sonder,,South of Market,37.77826607042946,-122.41453139141983,Entire home/apt,156,30,0,,,115,319
19140351,"Bright 2BR retreat steps from
Golden Gate Park!",3773599,Lawrence,,Inner Richmond,37.7740877723945,-122.4715388295875,Entire home/apt,275,3,23,2018-07-13,1.91,1,24
19144925,LUXE URBAN LOFT IN THE HEART OF SF,602488,Saman,,South of Market,37.78193489630214,-122.40887711551005,Entire home/apt,250,30,1,2018-03-02,0.19,1,362
19150623,Outer Sunset Home Sleeps 6 (with parking),133894957,Jessica,,Parkside,37.744778154188275,-122.48957147417612,Entire home/apt,225,1,36,2018-08-04,2.69,4,137
19156306,Sophisticated 2BR in SoMA by Sonder,12243051,Sonder,,South of Market,37.77678651721692,-122.41474810043768,Entire home/apt,192,30,1,2017-10-07,0.10,115,335
19157494,Russian Hill Treasure,253839,Jennifer,,Russian Hill,37.801561840605665,-122.42429175822282,Entire home/apt,197,62,0,,,1,153
19159149,"Remodel, Private Bath, 200M WIFI, Passcode CheckIn",23900667,Xin,,Ocean View,37.71439094899597,-122.46554185072165,Private room,85,30,39,2018-01-29,2.78,2,0
19159660,Garden view Room in Charming Edwardian home,126496085,Felicity,,Parkside,37.74025057933354,-122.48501590225517,Private room,75,2,3,2017-09-17,0.27,4,0
19160639,Ocean view Room in Charming Edwardian home,126496085,Felicity,,Parkside,37.741076720533485,-122.48549096387784,Private room,75,2,1,2017-09-07,0.09,4,0
19160891,Charming 3 bedroom Edwardian house,126496085,Felicity,,Parkside,37.741078205643284,-122.48337292777117,Entire home/apt,225,1,25,2018-04-21,2.30,4,0
19169144,Sunny room in Outer Sunset (舒適私人單間),134055356,Ching,,Parkside,37.74534385981449,-122.4888987809022,Private room,80,2,54,2018-08-05,4.32,1,38
19169859,"Cozy Victorian with views, yard and close to city.",113028643,James,,Potrero Hill,37.76047385120902,-122.39449396987929,Entire home/apt,399,30,0,,,1,353
19175066,Dolores Park - Mission 18th Street - 1BED - 1 BATH,38836,Bernat,,Mission,37.761578535325555,-122.41819583397036,Entire home/apt,109,30,3,2018-04-27,0.29,41,340
19178420,Rose Green Cottage,127367,Annette,,Bernal Heights,37.734673810714376,-122.42693710452305,Entire home/apt,200,30,0,,,23,357
19180151,Pacific Heights Spectacular View Home,134145998,Danielle,,Pacific Heights,37.79469548767079,-122.43680926632918,Entire home/apt,1100,3,2,2018-08-03,0.61,1,344
19180222,"Gorgeous private room w/ balcony, garden & garage",13006552,Andrija,,Noe Valley,37.74747549689363,-122.43245006849546,Private room,99,2,42,2018-07-28,3.61,1,62
19182186,Classic Castro Victorian 5BDR Charmer,134170466,Matt,,Castro/Upper Market,37.76888246807104,-122.43279704594849,Entire home/apt,599,30,34,2017-12-29,2.49,1,0
19194530,Private garden studio with kitchenette & bathroom,4203610,Ben,,Bayview,37.71887633412301,-122.38914992029035,Private room,71,2,56,2018-07-20,3.98,1,42
19196925,Moscone Conference Suite - 2 Bedrooms 2 Bathrooms,3428976,John,,South of Market,37.77898394668915,-122.40346861287159,Entire home/apt,347,30,8,2017-12-31,0.64,1,178
19206648,1 block to Downtown Weekly/Monthly Room!3,6683937,Amit,,South of Market,37.781434000418926,-122.41063650763628,Private room,60,30,2,2017-10-11,0.18,4,365
19211844,Private Room with shared bathroom in Hotel,103049007,Akshay,,Downtown/Civic Center,37.78603524626682,-122.41393879743917,Private room,70,1,17,2018-07-22,1.28,10,75
19212255,2 beds (sleeps 3) and shared bathroom in Hotel,103049007,Akshay,,Downtown/Civic Center,37.78629189936577,-122.4126440535498,Private room,85,1,24,2018-06-22,1.71,10,65
19219577,New remodel private room and bath(Sparta B),112189739,Kenneth And Vienna,,Visitacion Valley,37.71772004697136,-122.40485429811943,Private room,150,1,73,2018-07-28,5.48,1,14
19221065,Private guest room in San Francisco,11774308,Robert,,Outer Mission,37.7295173080573,-122.44291222821624,Private room,62,30,1,2018-06-27,0.73,1,231
19226603,Knotty Pine Studio,746807,Amber + Jeff,,Outer Sunset,37.76280633714716,-122.50634019236715,Entire home/apt,175,3,33,2018-08-03,2.61,1,27
19228248,Sunset Garden Apartment,22616634,Justin,,Outer Sunset,37.753593967837,-122.48137430628259,Entire home/apt,180,3,30,2018-07-23,2.26,1,28
19228919,"Charming House, Easy parking, Washer & Dryer",14542959,Nicole,,Inner Richmond,37.77723325430575,-122.44818879518456,Private room,82,30,26,2018-04-23,1.93,1,331
19229358,Spacious room with an unbeatable view.,4256540,Shih Hao,,Castro/Upper Market,37.75706815187041,-122.44017381211975,Private room,85,2,41,2018-07-28,3.02,1,153
19236728,Studio at Donatello Hotel near Union Square,47514427,Jeff,,Downtown/Civic Center,37.788733057199934,-122.41066468402292,Private room,235,1,11,2018-07-19,0.91,17,118
19236730,Studio at Donatello Hotel near Union Square,47514427,Jeff,,Downtown/Civic Center,37.78880869916779,-122.41153128092093,Private room,235,1,16,2018-07-25,1.22,17,125
19240799,"Panoramic SF views, spacious, comfortable home",134711248,Evelyn,,Castro/Upper Market,37.75828663308306,-122.43043102152772,Entire home/apt,210,3,18,2018-07-31,6.75,1,1
19265072,An Edwardian Home with a Lush Green Garden,17506355,Won Chan (원찬),,Noe Valley,37.749847780433086,-122.43200153444852,Private room,85,2,39,2018-07-12,2.87,2,66
19273465,Spacious San Francisco studio in quiet area,2902835,Nitzan,,Excelsior,37.72115668488759,-122.42715815494275,Entire home/apt,135,3,18,2018-07-04,1.54,1,0
