id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,area
17916272,New 2BR West Town Condo,5339999,Craig,,West Town,41.89844974,-87.67135541,Entire home/apt,250,2,0,,,1,0,Chicago
17920957,Hip and Spacious Bucktown Studio,12498223,Melissa,,Logan Square,41.91488213,-87.68862182,Entire home/apt,99,1,66,7/16/2018,4.76,1,48,Chicago
17921473,Clean Room in Ukranian Village,89504023,Aidzis,,West Town,41.89958809,-87.69677503,Private room,45,2,6,5/31/2018,0.38,1,114,Chicago
17923236,Private Logan Square Studio,122884640,Patrick,,Logan Square,41.92902334,-87.70311549,Entire home/apt,75,1,70,7/12/2018,5.38,1,189,Chicago
17925117,Luxury 1 bedroom in River North - Entire Place!,62474296,Matt,,Near North Side,41.89319587,-87.63065112,Entire home/apt,250,3,21,7/1/2018,1.35,1,96,Chicago
17929210,BRAND NEW MODERN ROOM + FREE STREET PARKING,109405453,Julia,,West Town,41.89996993,-87.67668865,Private room,39,1,71,6/27/2018,4.58,12,99,Chicago
17938342,Updated Studio in Andersonville - (no extra fees),5067682,Sarah,,Uptown,41.97139719,-87.66305593,Entire home/apt,88,1,95,7/10/2018,6.04,1,11,Chicago
17942197,Artist owned//lovingly rehabbed space,9061344,Roslyn,,Bridgeport,41.83988124,-87.66012274,Entire home/apt,85,2,15,6/26/2018,1.44,1,143,Chicago
17946171,Vintage 3 bedroom Andersonville flat,123132605,Henry And CeCe,,Edgewater,41.98619994,-87.6658085,Entire home/apt,300,2,25,7/15/2018,1.77,1,152,Chicago
17955831,"Cozy & sunny tropical 2BR, near Hollywood Beach",749384,Mitali,,Edgewater,41.98624857,-87.66825393,Entire home/apt,100,2,9,6/24/2018,0.62,2,6,Chicago
17956375,Comforts of Home in Chicago...,14865066,William,,Rogers Park,42.01386214,-87.68128071,Entire home/apt,189,2,0,,,1,32,Chicago
17959924,Wrigleyville/Boystown/Lakeview Pet-friendly Studio,67799923,Mariah,,Lake View,41.94565887,-87.64725565,Entire home/apt,87,2,8,5/30/2017,0.52,1,0,Chicago
17960661,Garfield Private Suite,1501514,Carley,,East Garfield Park,41.87750705,-87.70098832,Private room,52,1,0,,,1,0,Chicago
17963869,Wicker Park next to Blue Line,40865923,Keanu,,West Town,41.90260687,-87.6660994,Entire home/apt,151,2,2,6/12/2017,0.15,1,72,Chicago
17979758,"1 bedroom, city view from veranda in east village",81276216,Phillip,,West Town,41.89247005,-87.67776657,Entire home/apt,125,1,20,7/16/2018,1.55,1,163,Chicago
17987469,Cozy Wrigleyville Condo,5555817,Cheryl,,Lake View,41.94825706,-87.66655565,Entire home/apt,189,2,8,7/15/2018,0.75,1,38,Chicago
17992312,PRIVATE 2nd Floor 15 Minutes From O'hare,121695859,Israel,,Portage Park,41.96656724,-87.78183271,Entire home/apt,39,1,75,7/8/2018,5.04,1,83,Chicago
17993284,Pilen's Diamond in the Rough,6715625,Michael,,Lower West Side,41.85522756,-87.66240276,Entire home/apt,120,2,0,,,1,0,Chicago
17994787,La Casa Antigua (Vintage Villita). Old world charm,69446040,Juanita,,South Lawndale,41.84898796,-87.70208747,Entire home/apt,120,3,8,6/25/2018,1.95,2,53,Chicago
17995629,"Awesome Oak Park, Tree Top views! Monthly specials",121584173,Sally,,Austin,41.86825451,-87.77421089,Entire home/apt,68,2,17,6/25/2018,1.25,1,202,Chicago
18007859,Gorgeous Modern Home with Enviable Outdoor Living,1812643,Dior,,West Town,41.89273426,-87.67360591,Entire home/apt,649,1,23,7/1/2018,1.64,1,332,Chicago
18007889,Affordable room in spacious townhome in South Loop,378923,Mil,,Near South Side,41.85531958,-87.62883499,Private room,65,1,25,5/27/2018,1.6,1,0,Chicago
18018011,Single family home on quiet street in Logan Square,8185293,Marshall,,Logan Square,41.9252798,-87.71130923,Entire home/apt,350,3,2,7/31/2017,0.15,1,0,Chicago
18019716,"Close to Downtown, Good Price!",7312000,Yen-Hang,,Bridgeport,41.82946153,-87.64111986,Private room,25,3,8,11/12/2017,0.77,1,7,Chicago
18020654,Ukrainian Village Abode!,10086033,Iman,,West Town,41.89824179,-87.69038833,Entire home/apt,70,2,15,8/20/2017,1.03,1,0,Chicago
18035212,Perfect -2 PVT BdrmsShareBathKitchen,16292516,Michael,,Lake View,41.94420862,-87.64992869,Private room,250,2,0,,,4,361,Chicago
18040546,Humboldt Park Traveler's Lodge,4591141,Moudi,,West Town,41.89965907,-87.69373618,Entire home/apt,85,1,143,7/9/2018,9.51,2,12,Chicago
18040708,Center of Gold Coast,48209432,Naf,,Near North Side,41.9092992,-87.63109346,Entire home/apt,120,1,52,6/30/2018,3.34,6,150,Chicago
18041113,Beautifully Furnished Loft at Millennium Park,124132926,Victoria,,Near North Side,41.88931952,-87.62464703,Entire home/apt,175,3,33,7/13/2018,2.3,1,117,Chicago
18041545,Classy Comfy 2BR with vintage charm!,124137126,Augusta,,West Town,41.89946221,-87.68970098,Entire home/apt,92,1,13,7/24/2017,0.95,1,44,Chicago
18041640,Quiet Comfy Neighborhood 1Bed,8632812,Camille & Calvin,,Irving Park,41.95687181,-87.70132863,Entire home/apt,80,2,5,6/25/2017,0.36,2,0,Chicago
18047767,Cozy Room in South loop/Chinatown,44527595,Claudia & Sam,,Armour Square,41.85769368,-87.63302575,Private room,85,1,45,7/7/2018,3.09,1,139,Chicago
18052374,Classic 1 Bd Loft in the Loop! Walkable & Sleeps 4,94659902,Nika,,Near South Side,41.86595568,-87.62492969,Entire home/apt,177,1,31,5/28/2018,2.12,2,313,Chicago
18055322,Chicago downtown - west loop,51547131,Andy,,Near West Side,41.88086864,-87.64243854,Entire home/apt,110,1,19,7/4/2017,1.26,1,0,Chicago
18057273,Extra Bedroom,58868732,Jake,,Lake View,41.94455042,-87.65074509,Private room,57,1,1,4/7/2017,0.06,4,0,Chicago
18059132,Wonderful 1BR in Heart of Chicago!,124297417,William,,Near North Side,41.89336595,-87.61855192,Entire home/apt,135,2,5,10/1/2017,0.33,1,0,Chicago
18059552,Study Oasis,124307753,Aj,,South Shore,41.7686709,-87.56925665,Private room,95,1,27,3/22/2018,2.21,2,294,Chicago
18060003,New Trendy Entire Space @ Ukrainian Village,29716517,Ronaldo And Carla,,West Town,41.89874189,-87.69013595,Entire home/apt,90,2,6,6/3/2018,0.63,2,4,Chicago
